word,vector
ancient,-0.08868912,0.22676483,-0.2542267,-0.32513726,0.26812974,0.25180486,0.321835,-0.29519337,0.33313656,0.081969686,-0.2795713,-0.23707023,-0.20920001,-0.24421015,0.043843005,-0.3388658,-0.21536049,0.12887108,0.112731986,-0.0958425
angry,-0.1995334,0.23064311,0.28255388,0.18796942,0.28186843,0.2214445,0.21485451,-0.2047083,0.24322242,-0.24655752,-0.23112772,-0.2174589,0.24576683,0.2952226,0.23586006,0.23087725,0.23070784,0.19233043,0.18383794,0.19716282
apple,-0.26731148,0.26039797,0.19025163,0.24279909,0.18627448,0.1762711,0.25887534,-0.23846833,0.2663045,-0.27218026,-0.24060147,-0.21261825,0.22558105,0.15302618,0.25485855,0.24671917,0.2197427,0.2384725,0.2792485,0.2219792
around,-0.21172833,0.17862678,-0.095296405,-0.312694,0.2938309,0.2678241,0.06596025,0.0014425493,-0.33606184,-0.26937357,-0.056267206,-0.25536618,0.32534844,-0.2673513,0.2961977,-0.19890358,-0.32408816,0.1537102,-0.064906925,-0.26449418
artist,0.30532277,-0.22942984,-0.26405057,0.2866256,0.01850576,0.16516453,0.18926032,-0.26512054,-0.2699331,-0.068972304,0.18404512,-0.23088509,0.33625442,-0.2933374,0.11130349,0.3621809,-0.20950902,-0.2923849,0.1914498,0.03522879
ask,0.01875522,-0.07700478,0.23752311,0.32119438,0.2829406,0.24655439,0.1733249,0.3923247,-0.3297031,0.17591159,-0.18796945,0.24999805,-0.38740438,0.25963157,-0.100526184,0.2842648,0.11702544,0.25966972,0.24153154,-0.3182526
at,-0.3212199,0.14877743,-0.24180545,-0.22768916,0.27631035,0.25258565,0.14893635,-0.070595145,-0.2877317,-0.337193,-0.006517792,-0.3243324,0.25857267,-0.22519363,0.16705787,0.16649948,-0.25017175,0.055750333,-0.20672558,-0.37461397
attach,-0.014743194,0.331172,0.07816398,-0.34529233,0.31775832,0.2205324,-0.0019934156,-0.27139443,0.22474205,-0.19959433,-0.10359229,0.07724104,-0.21192041,-0.34275064,0.11689171,-0.3008384,0.3281499,0.29756185,0.2343809,-0.14728655
average,0.08356665,0.29080817,0.044600084,0.11702425,0.31652716,-0.3634297,-0.09070228,-0.37019524,0.27424374,0.29204303,0.24774717,-0.2520208,-0.061953463,0.010281994,0.077760965,0.24082504,-0.29560125,0.34182692,-0.2855255,-0.30382884
away,-0.14833729,0.27044386,-0.2478862,0.19274877,-0.26926678,0.32609746,-0.045637485,0.26921877,-0.16039214,-0.3936087,-0.2071448,0.11339974,0.40568072,-0.004653832,0.29240146,0.2792371,0.2506129,0.079922,0.25520796,0.10331127
baby,-0.30894598,0.23891917,0.074453354,0.2345418,0.20246875,0.17722899,0.26713708,-0.23947439,0.23323318,-0.22917683,-0.22262676,-0.19707696,0.2173389,0.18838274,0.26882255,0.20668206,0.2676931,0.2642244,0.23152387,0.23278318
bad,-0.16933967,0.24394593,-0.3946908,-0.20470558,0.19169696,-0.3164865,0.031687234,-0.17855813,0.0063502756,0.3694452,-0.09174454,0.31019008,-0.30970988,-0.1698085,-0.28968626,-0.284717,-0.16755916,0.39212328,-0.08667396,-0.1294602
ball,-0.26148027,0.13276614,0.15802749,0.28894362,0.300102,0.22523838,0.15606137,-0.22764362,0.26563972,-0.2836415,-0.18888886,-0.20202138,0.2116777,0.17693445,0.2390002,0.17340341,0.30033883,0.28826168,0.2242802,0.11864486
bank,-0.27891287,0.34106365,-0.0071325265,0.05590432,0.13666004,0.25683346,0.24820316,0.27154696,-0.25533968,-0.0841049,0.044685964,0.31412297,0.3070407,-0.052777078,0.25277928,-0.2645383,-0.19417168,0.3162856,0.12890652,-0.15555167
be,-0.20451477,-0.2711975,0.26470748,0.37715912,0.2930691,-0.11224266,0.10569221,0.31952655,-0.23915133,0.23101458,-0.25125322,0.032926943,-0.2464868,0.34985405,-0.01564919,0.35181248,-0.20778173,0.16491085,0.19365263,-0.30239925
beach,0.3741258,-0.22434261,-0.174399,0.28850076,0.25776568,-0.07073013,0.18958129,0.004413942,-0.27617517,-0.17000836,0.29083687,0.04615827,0.36253744,-0.2463926,-0.018922048,0.30618143,-0.23399447,-0.26231232,0.06612339,-0.21080299
beautiful,-0.242706,0.25771007,-0.18467309,0.033678193,0.31131732,-0.35823175,-0.094336286,0.022916963,-0.038280226,0.1450078,0.22502601,0.35215935,-0.25364047,-0.3572084,-0.3925557,-0.34732503,-0.3002744,0.23842369,0.07781206,-0.28163636
become,0.20777231,-0.18033671,0.30660844,0.19910453,0.37634414,0.10598163,0.2649763,0.3104431,-0.112670355,0.1543039,-0.1910715,-0.0289465,-0.22159913,0.35953635,-0.061061908,0.33859158,-0.15839443,0.15423724,0.19700052,-0.3644155
bed,-0.33004236,0.19450322,0.0707166,0.23034556,0.22499076,0.10461704,0.17801869,-0.28161278,0.31776166,-0.25458837,-0.18081367,-0.17016196,0.15013072,0.117540926,0.28903207,0.19165967,0.24446097,0.25955272,0.35240105,0.124901175
before,-0.18161896,0.06225244,-0.13948043,-0.29676574,0.25047022,0.24337219,0.116111316,-0.27557525,-0.295177,-0.263559,0.06287238,-0.29254666,0.21572262,-0.2981742,0.35858193,0.12560958,-0.3061163,0.18530959,-0.11507861,-0.24712494
begin,-0.012145383,-0.31469393,0.28992364,0.28708738,0.2520547,0.1669468,0.23902768,0.38624936,-0.24363677,0.0912622,-0.1422799,0.02574531,-0.34285247,0.29681677,-0.2058497,0.32924384,-0.13802534,-0.01582825,-0.05833347,-0.29804912
behind,-0.17334543,-0.06414715,-0.13190857,-0.3365343,0.29573974,0.26629752,0.24252267,-0.15761179,-0.31304458,-0.30285662,-0.06970706,-0.25621396,0.2876718,-0.21500239,0.23827715,0.016664803,-0.32897705,-0.041524183,-0.035629362,-0.29369622
believe,-0.045298044,-0.30425015,0.2862087,0.15644607,0.3888567,-0.018690508,0.23742217,0.24903789,-0.060342044,0.06805788,-0.20984443,-0.21260643,-0.24322249,0.32574788,-0.066949435,0.37984014,-0.36269885,-0.0578913,0.00913386,-0.35677993
